person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
-0.4271631074314801,2.759666142353572,-0.18763033783466687,1.0214547402536371,-1.288396412990311,-0.9379561331067104,-0.442816730833711,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.059357714898069,-0.7540401697583837,0.05538283674905181,-1.2816641233452177,0.37932711725135265,-0.8443279183077657,-0.442816730833711,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4271631074314801,-0.20471701655271785,1.2704487096676451,1.0214547402536371,0.49310942438285005,1.2154928072690214,-0.9385143395458824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0469828481684617,-0.7728741064397209,-0.18763033783466687,-0.7257388804075631,0.9644932682133401,1.2154928072690214,0.5485784865906317,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.4271631074314801,-0.2518018582560606,-0.6736566870021042,0.06844003807480073,-1.0120679528138168,0.27921065927957295,-0.9385143395458824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.5211288037684035,-0.09485238591158465,-0.6736566870021042,-0.09039574562167202,0.5451241933572489,-0.18893041471515157,0.5485784865906317,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7432604111647746,0.3289111894185005,-1.1596830361695416,0.38611160546774626,0.5581278856008489,-0.28255862951409627,-0.9385143395458824,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.20503150003510895,-0.3773614361316414,-1.1596830361695416,-0.7257388804075631,1.2830837281815333,-0.4698150591119862,0.7964272909467174,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.7432604111647746,-0.13408975399770365,0.05538283674905181,-0.09039574562167202,-1.33390933584291,-0.09530219991620661,-0.9385143395458824,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.9013090630314219,-0.6598704863516982,-1.1596830361695416,-1.186362653127334,0.3890798864340528,-0.7506997035088209,-0.9385143395458824,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
